Cement ,Blast Furnace Slag ,Fly Ash ,Water  ,Superplasticizer ,Coarse Aggregate  ,Fine Aggregate ,Concrete Compressive Strength
425.0,106.3,0.0,153.5,16.5,852.1,887.1,33.398217439999996
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,20.72564856
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,14.98920824
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,15.60973664
387.0,20.0,94.0,157.0,11.61,938.0,845.0,34.77027468
236.0,157.0,0.0,192.0,0.0,972.6,749.1,13.565440299999999
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,8.06342182
254.0,0.0,0.0,198.0,0.0,968.0,863.0,9.307926
183.9,122.6,0.0,203.5,0.0,959.2,800.0,4.9035533120000006
389.9,189.0,0.0,145.9,22.0,944.7,755.8,40.59634688
252.31,0.0,98.75,146.25,14.17,987.76,889.01,21.78054684
116.0,173.0,0.0,192.0,0.0,909.8,891.9,6.280436883999999
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,23.52492112
318.8,212.5,0.0,155.7,14.3,852.1,880.4,25.2003478
387.0,20.0,94.0,157.0,13.93,938.0,845.0,25.510612
238.05,0.0,94.11,186.66,7.0,949.91,847.01,19.93275116
362.6,189.0,0.0,164.9,11.6,944.7,755.8,35.3011712
491.0,26.0,123.0,210.0,3.93,882.0,699.0,25.60910856945864
385.0,0.0,0.0,186.0,0.0,966.0,763.0,6.26733684
393.0,0.0,0.0,192.0,0.0,940.6,785.6,19.199148695999998
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,13.62404576
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,15.04436632
194.68,0.0,100.52,170.17,7.48,998.0,901.8,12.17614616
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,19.41564416
475.0,118.8,0.0,181.1,8.9,852.1,781.5,37.79707432
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,9.4458212
331.0,0.0,0.0,192.0,0.0,879.0,825.0,13.52062436
362.6,189.0,0.0,164.9,11.6,944.7,755.8,35.3011712
446.0,24.0,79.0,162.0,11.64,967.0,712.0,25.021084039999998
233.81,0.0,94.58,197.89,4.567,947.04,852.16,10.38350856
212.0,141.3,0.0,203.5,0.0,973.4,750.0,6.8085755
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,16.27852836
339.0,0.0,0.0,197.0,0.0,968.0,781.0,13.22414968
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,21.02212324
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28.79941252
277.0,0.0,0.0,191.0,0.0,968.0,856.0,11.36256448
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,15.87173752
480.0,0.0,0.0,192.0,0.0,936.2,712.2,24.404692496
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,7.3980774799999995
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,7.74971024
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,10.76272036
255.0,0.0,0.0,192.0,0.0,889.8,945.0,8.204074924
425.0,106.3,0.0,151.4,18.6,936.0,803.7,36.3009114
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,19.519065559999998
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,21.29101888
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,11.98309288
173.0,116.0,0.0,192.0,0.0,946.8,856.8,6.940954892
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,11.85209244
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28.99936056
531.3,0.0,0.0,141.8,28.2,852.1,893.7,41.2996124
333.0,0.0,0.0,192.0,0.0,931.2,842.6,15.615941924
310.0,0.0,0.0,192.0,0.0,971.0,850.6,9.86640156
362.6,189.0,0.0,164.9,11.6,944.7,755.8,35.3011712
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,13.35515012
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,15.520104759999999
108.3,162.4,0.0,203.5,0.0,938.2,849.0,2.331807832
425.0,106.3,0.0,153.5,16.5,852.1,887.1,33.398217439999996
202.0,11.0,141.0,206.0,1.72,942.0,801.0,9.84965714581204
122.6,183.9,0.0,203.5,0.0,958.2,800.1,3.31982694
288.0,192.0,0.0,192.0,0.0,932.0,717.8,16.10960674
249.1,0.0,98.75,158.11,12.8,987.76,889.01,15.361525279999999
290.35,0.0,96.18,168.08,9.41,961.18,865.0,22.50449664
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,33.79811352
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,13.12072828
289.0,0.0,0.0,192.0,0.0,913.2,895.3,11.654902304
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,30.44726016
393.0,0.0,0.0,192.0,0.0,940.0,758.0,19.10537996
446.0,24.0,79.0,162.0,11.61,967.0,712.0,35.36322404
153.0,102.0,0.0,192.0,0.0,888.0,943.1,4.782205536
359.0,19.0,141.0,154.0,10.91,942.0,801.0,25.11662571527068
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,13.54130864
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,21.91154728
284.0,15.0,141.0,179.0,5.46,842.0,801.0,13.395533715270679
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,7.3153403599999995
424.0,22.0,132.0,168.0,8.92,822.0,750.0,32.109882284729316
250.2,166.8,0.0,203.5,0.0,977.6,694.1,9.731264264
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,23.80071152
250.0,0.0,95.69,191.84,5.33,948.9,857.2,8.48744956
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,10.0318758
331.0,0.0,0.0,192.0,0.0,978.0,825.0,13.52062436
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,17.57474324
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,18.01600788
203.5,305.3,0.0,203.5,0.0,963.4,630.0,9.561653168
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,13.18278112
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,12.45193656
192.0,288.0,0.0,192.0,0.0,929.8,716.1,12.788400847999998
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,14.306626999999999
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,15.049192651999999
295.71,0.0,95.64,171.54,8.87,955.14,859.2,22.94576128
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,24.40055564
198.6,132.4,0.0,192.0,0.0,978.4,825.5,9.131420144
439.0,177.0,0.0,186.0,11.1,884.9,707.9,39.300132
166.8,250.2,0.0,203.5,0.0,975.6,692.6,6.902344236
236.0,0.0,0.0,194.0,0.0,968.0,885.0,6.467284879999999
133.0,200.0,0.0,192.0,0.0,927.4,839.2,6.883728383999999
424.0,22.0,132.0,178.0,8.48,882.0,750.0,32.01138571527068
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,12.63809508
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,12.5484632
491.0,26.0,123.0,201.0,3.93,822.0,699.0,29.54897143054136
387.0,20.0,94.0,157.0,14.32,938.0,845.0,22.752708
141.3,212.0,0.0,203.5,0.0,971.8,748.5,4.827710952
480.0,0.0,0.0,192.0,0.0,936.0,721.0,24.39366088
362.6,189.0,0.0,164.9,11.6,944.7,755.8,35.3011712
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,23.07676172
200.0,133.0,0.0,192.0,0.0,965.4,806.2,11.414275179999999
425.0,106.3,0.0,153.5,16.5,852.1,887.1,33.398217439999996
359.0,19.0,141.0,154.0,10.91,942.0,801.0,23.639177145812038
307.0,0.0,0.0,193.0,0.0,968.0,812.0,12.541568439999999
